id	submitdate	lastpage	startlanguage	seed	startdate	datestamp	ipaddr	refurl	ProlificID	Gender	Age[SQ001]	SuperiorEducation[SQ001]	Instructions	Collaboration	Monitoring	CollaboratorAI	Taining1	Training2	Training3[SQ001]	Training3[SQ002]	Training3[SQ003]	Training4[SQ001]	Training5	Training50	Training6	Training7[SQ001]	Training7[SQ002]	Training7[SQ003]	Training8[SQ001]	Training9	Training91	Training10	Training11[SQ001]	Training11[SQ002]	Training11[SQ003]	Training12[SQ001]	Feedback1	randnumber1	Condition101	Condition001	Condition1011	Condition0010	Scenario2	Slider3[SQ001]	Slider3[SQ002]	Slider3[SQ003]	Slider4[SQ001]	randnumber2	Condition102	Condition002	Condition1021	Condition0020	Scenario3	Slider5[SQ001]	Slider5[SQ002]	Slider5[SQ003]	Slider6[SQ001]	randnumber3	Condition103	Condition003	Condition1031	Condition0030	Scenario4	Slider7[SQ001]	Slider7[SQ002]	Slider7[SQ003]	Slider8[SQ001]	randnumber4	Condition104	Condition004	Condition1041	Condition0040	Scenario5	Slider9[SQ001]	Slider9[SQ002]	Slider9[SQ003]	Slider10[SQ001]	randnumber5	Condition105	Condition005	Condition1051	Condition0050	Scenario6	Slider11[SQ001]	Slider11[SQ002]	Slider11[SQ003]	Slider12[SQ001]	CQ11	CQ12	randnumber6	Condition106	Condition006	Condition1061	Condition0060	Scenario7	Slider13[SQ001]	Slider13[SQ002]	Slider13[SQ003]	Slider14[SQ001]	randnumber7	Condition107	Condition007	Condition1071	Condition0070	Scenario8	Slider15[SQ001]	Slider15[SQ002]	Slider15[SQ003]	Slider16[SQ001]	randnumber8	Condition108	Condition008	Condition1081	Condition0080	Scenario9	Slider17[SQ001]	Slider17[SQ002]	Slider17[SQ003]	Slider18[SQ001]	randnumber9	Condition109	Condition009	Condition1091	Condition0090	Scenario10	Slider19[SQ001]	Slider19[SQ002]	Slider19[SQ003]	Slider20[SQ001]	randnumber10	Condition110	Condition010	Condition1101	Condition0100	Scenario11	Slider21[SQ001]	Slider21[SQ002]	Slider21[SQ003]	Slider22[SQ001]	CQ21	CQ22	randnumber11	Condition111	Condition011	Condition1111	Condition0110	Scenario12	Slider23[SQ001]	Slider23[SQ002]	Slider23[SQ003]	Slider24[SQ001]	randnumber12	Condition112	Condition012	Condition1121	Condition0120	Scenario13	Slider25[SQ001]	Slider25[SQ002]	Slider25[SQ003]	Slider26[SQ001]	randnumber13	Condition113	Condition013	Condition1131	Condition0130	Scenario14	Slider27[SQ001]	Slider27[SQ002]	Slider27[SQ003]	Slider28[SQ001]	randnumber14	Condition114	Condition014	Condition1141	Condition0140	Scenario15	Slider29[SQ001]	Slider29[SQ002]	Slider29[SQ003]	Slider30[SQ001]	randnumber16	Condition116	Condition016	Condition1161	Condition0160	Scenario17	Slider33[SQ001]	Slider33[SQ002]	Slider33[SQ003]	Slider34[SQ001]	CQ31	CQ32	randnumber20	Condition120	Condition020	Condition0200	Condition1201	Scenario21	Slider41[SQ001]	Slider41[SQ002]	Slider41[SQ003]	Slider42[SQ001]	randnumber21	Condition121	Condition021	Condition0210	Condition1211	Scenario22	Slider43[SQ001]	Slider43[SQ002]	Slider43[SQ003]	Slider44[SQ001]	randnumber22	Condition122	Condition022	Condition0220	Condition1221	Scenario23	Slider45[SQ001]	Slider45[SQ002]	Slider45[SQ003]	Slider46[SQ001]	randnumber23	Condition123	Condition023	Condition0230	Condition1231	Scenario24	Slider47[SQ001]	Slider47[SQ002]	Slider47[SQ003]	Slider48[SQ001]	randnumber25	Condition125	Condition025	Condition0250	Condition1251	Scenario26	Slider51[SQ001]	Slider51[SQ002]	Slider51[SQ003]	Slider52[SQ001]	Feedback2	interviewtime	groupTime30047	ProlificIDTime	groupTime30045	GenderTime	groupTime30046	AgeTime	groupTime30048	SuperiorEducationTime	groupTime29971	InstructionsTime	groupTime29972	CollaborationTime	MonitoringTime	CollaboratorAITime	groupTime29969	Taining1Time	groupTime29977	Training2Time	groupTime29978	Training3Time	Training4Time	groupTime29979	Training5Time	groupTime29970	Training50Time	Training6Time	groupTime29980	Training7Time	Training8Time	groupTime29981	Training9Time	groupTime29982	Training91Time	Training10Time	groupTime29983	Training11Time	Training12Time	groupTime29984	Feedback1Time	groupTime29975	randnumber1Time	Condition101Time	Condition001Time	groupTime29985	Condition1011Time	Condition0010Time	Scenario2Time	groupTime29986	Slider3Time	Slider4Time	groupTime29987	randnumber2Time	Condition102Time	Condition002Time	groupTime29988	Condition1021Time	Condition0020Time	Scenario3Time	groupTime29989	Slider5Time	Slider6Time	groupTime29990	randnumber3Time	Condition103Time	Condition003Time	groupTime29991	Condition1031Time	Condition0030Time	Scenario4Time	groupTime29992	Slider7Time	Slider8Time	groupTime29993	randnumber4Time	Condition104Time	Condition004Time	groupTime29994	Condition1041Time	Condition0040Time	Scenario5Time	groupTime29995	Slider9Time	Slider10Time	groupTime29996	randnumber5Time	Condition105Time	Condition005Time	groupTime29997	Condition1051Time	Condition0050Time	Scenario6Time	groupTime29998	Slider11Time	Slider12Time	groupTime30044	CQ11Time	CQ12Time	groupTime29999	randnumber6Time	Condition106Time	Condition006Time	groupTime30000	Condition1061Time	Condition0060Time	Scenario7Time	groupTime30001	Slider13Time	Slider14Time	groupTime30002	randnumber7Time	Condition107Time	Condition007Time	groupTime30003	Condition1071Time	Condition0070Time	Scenario8Time	groupTime30004	Slider15Time	Slider16Time	groupTime30005	randnumber8Time	Condition108Time	Condition008Time	groupTime30006	Condition1081Time	Condition0080Time	Scenario9Time	groupTime30007	Slider17Time	Slider18Time	groupTime30008	randnumber9Time	Condition109Time	Condition009Time	groupTime30009	Condition1091Time	Condition0090Time	Scenario10Time	groupTime30010	Slider19Time	Slider20Time	groupTime30011	randnumber10Time	Condition110Time	Condition010Time	groupTime30012	Condition1101Time	Condition0100Time	Scenario11Time	groupTime30013	Slider21Time	Slider22Time	groupTime30043	CQ21Time	CQ22Time	groupTime30014	randnumber11Time	Condition111Time	Condition011Time	groupTime30015	Condition1111Time	Condition0110Time	Scenario12Time	groupTime30016	Slider23Time	Slider24Time	groupTime30017	randnumber12Time	Condition112Time	Condition012Time	groupTime30018	Condition1121Time	Condition0120Time	Scenario13Time	groupTime30019	Slider25Time	Slider26Time	groupTime30020	randnumber13Time	Condition113Time	Condition013Time	groupTime30021	Condition1131Time	Condition0130Time	Scenario14Time	groupTime30022	Slider27Time	Slider28Time	groupTime30023	randnumber14Time	Condition114Time	Condition014Time	groupTime30024	Condition1141Time	Condition0140Time	Scenario15Time	groupTime30025	Slider29Time	Slider30Time	groupTime30029	randnumber16Time	Condition116Time	Condition016Time	groupTime30030	Condition1161Time	Condition0160Time	Scenario17Time	groupTime30031	Slider33Time	Slider34Time	groupTime30042	CQ31Time	CQ32Time	groupTime30049	randnumber20Time	Condition120Time	Condition020Time	groupTime30050	Condition0200Time	Condition1201Time	Scenario21Time	groupTime30051	Slider42Time	Slider41Time	groupTime30052	randnumber21Time	Condition121Time	Condition021Time	groupTime30053	Condition0210Time	Condition1211Time	Scenario22Time	groupTime30054	Slider43Time	Slider44Time	groupTime30055	randnumber22Time	Condition122Time	Condition022Time	groupTime30056	Condition0220Time	Condition1221Time	Scenario23Time	groupTime30057	Slider45Time	Slider46Time	groupTime30058	randnumber23Time	Condition123Time	Condition023Time	groupTime30059	Condition0230Time	Condition1231Time	Scenario24Time	groupTime30060	Slider47Time	Slider48Time	groupTime30064	randnumber25Time	Condition125Time	Condition025Time	groupTime30065	Condition0250Time	Condition1251Time	Scenario26Time	groupTime30066	Slider51Time	Slider52Time	groupTime30041	Feedback2Time
8	2022-04-13 07:11:50	80	en	1517453232	2022-04-13 06:26:24	2022-04-13 07:11:50	41.0.138.200		600823f4e4ff8838b38948f6	Female	25	5		The Faculty of Applied Linguistics at the University of Warsaw	True or false	An AI system			100	100	100	100				100	84	100	0				100	76	100	100		2						87	90	100	0	2						100	100	100	0	1						100	82	100	100	2						0	11	17	100	2						65	71	66	69	FALSE	Rules governing how to communicate with others to ensure clarity and understanding	1						100	100	100	100	2						100	100	100	0	1						33	34	21	90	2						27	18	24	100	2						100	100	100	2	FALSE	Type of meaning determined by what the speaker wishes to talk about and not necessarily by what she indicated in practice	1						100	100	100	100	1						17	18	15	0	2						82	93	86	65	2						100	100	100	0	1						0	0	0	1	TRUE	Rules for preserving the connection between words and what they stand for	1						100	86	86	100	1						100	100	100	100	2						100	100	100	0	1						0	0	0	2	1						64	32	61	94		2764,42	6,61		4,06		8,89		30,58		98,27		34,93				37,94		10,75		46,84			47,59		34,43			64,73			11,95		34,76			23,22			9,55		8,44				35,87				43,95			8,68				63,56				11,77			10,92				33,39				22,46			8,35				197,96				17,72			12,17				58,63				20,25			71,99			14,13				89,01				11,44			43,02				87,5				14,56			9,28				91,86				24,63			9,54				33,1				11,06			59,67				32,92				10,85			44,75			8,75				32,71				12,47			40,48				42,09				19,15			27,73				36,92				20,68			9,26				34,19				9,24			40,49				69,68				13,56			16,22			19,69				40,92				12,74			10,34				100,07				52,69			8,04				66,72				7,68			73,06				42,68				12,88			22,16				110,6				16,14			15,86	
13	2022-04-13 07:26:20	80	en	1979245838	2022-04-13 06:32:08	2022-04-13 07:26:20	197.89.169.175		5fbcba46c7da0018a9042e35	Male	28	2		The Faculty of Applied Linguistics at the University of Warsaw	True or false	An AI system			0	50	75	0				25	25	75	25				75	75	75	75		2						25	100	75	75	1						100	100	100	100	1						25	25	50	15	2						15	15	85	50	2						25	100	100	10	FALSE	Type of meaning determined by what the speaker wishes to talk about and not necessarily by what she indicated in practice	2						10	25	75	25	2						0	10	50	100	2						50	10	100	100	2						0	0	50	75	1						25	75	75	90	TRUE	Type of meaning determined by what the speaker wishes to talk about and not necessarily by what she indicated in practice	2						0	0	100	0	1						25	100	75	80	1						30	30	80	80	1						25	25	50	70	2						10	10	75	25	FALSE	Type of meaning determined by what the speaker wishes to talk about and not necessarily by what she indicated in practice	1						50	75	100	60	1						0	75	100	85	2						10	80	50	50	1						85	85	100	100	2						0	0	75	25		3262,01	5,14		6,71		7,69		13,16		619,39		70,33				44,36		13,54		81,58			26,53		33,37			125,43			7,63		33,17			18,65			9,98		8,99				73,86				32,02			7,05				56,32				16,86			8,75				286,21				18,45			7,3				38,56				16,26			9,2				33,23				16,32			42,76			7,71				32,42				18,24			7,33				56,77				12,82			10,79				60,82				16,04			7				34,71				12,91			7,59				35,12				29,39			60,24			7,84				32,98				20,81			7,75				102,08				16,98			140,04				33,31				22,89			21,38				59,62				14,16			30,77				34,38				18,21			29,81			8				31,95				18,8			8,01				33,33				15,71			9,22				78,01				15,76			8,01				150,75				13,81			7,87				52,36				13,15			5,56	
14	2022-04-13 07:29:35	80	en	846188511	2022-04-13 06:32:28	2022-04-13 07:29:35	154.20.50.136		60186b7c5524a20fcb8ececc	Female	23	4		The Faculty of Applied Linguistics at the University of Warsaw	True or false	An AI system			100	85	100	100				100	0	100	100				75	100	75	100	I think the instructions and training phase were both clear and easy to understand. I would not change anything.	1						45	25	75	0	2						60	0	40	100	1						0	0	0	0	1						0	85	25	100	1						100	20	100	50	TRUE	Rules for preserving the connection between words and what they stand for	2						80	0	90	100	2						100	0	100	100	1						0	0	0	0	1						85	100	85	100	2						80	0	80	100	FALSE	Type of meaning determined by what the speaker wishes to talk about and not necessarily by what she indicated in practice	1						75	0	75	0	2						25	25	60	100	2						85	100	90	100	1						25	0	70	0	2						0	75	25	50	FALSE	Rules governing how to communicate with others to ensure clarity and understanding	1						0	25	75	100	2						20	75	20	50	1						80	80	80	100	2						0	0	0	100	1						45	45	85	100	The instructions and the tasks were all clear and easy to understand.	3457,96	6,65		6,1		9,21		16,62		167,06		97,99				38,37		35,62		75,21			37,14		38,98			178,78			19,4		42,21			54,88			79,13		9,56				53,81				57,7			30,29				94,93				57,93			8,44				37,95				27,22			10,68				46,09				51,88			11,53				54,96				42,65			70,54			12,27				46,61				33,01			9,59				102,45				31,08			11,41				52,11				67,12			9,03				86,36				37,67			9,03				91,21				44,28			49,22			13,44				65,54				54,01			10,74				51,04				36,98			8,89				54,46				36,38			10,61				58,36				41,67			33,91				74,48				50,71			35,76			9,3				47,26				56,35			10,84				52,29				34,46			8,99				56,03				35,82			9,97				36,49				21,84			8,76				66,4				55,76			48,46	
15	2022-04-13 07:08:35	80	en	323215387	2022-04-13 06:34:21	2022-04-13 07:08:35	86.172.106.166		5da1db34eaeef90013b9fedb	Female	32	5		The Faculty of Applied Linguistics at the University of Warsaw	True or false	An AI system			95	85	95	100				33	29	31	97				98	98	94	98		2						28	7	27	36	1						22	25	51	87	1						90	87	36	96	2						45	54	53	45	1						65	85	56	99	TRUE	Rules governing how to communicate with others to ensure clarity and understanding	1						79	80	79	94	2						18	21	32	93	1						31	24	33	16	2						61	41	36	66	1						96	98	80	100	TRUE	Rules for preserving the connection between words and what they stand for	1						59	8	9	21	2						77	71	80	16	1						27	26	33	6	1						11	5	20	9	1						11	63	10	55	TRUE	Rules for preserving the connection between words and what they stand for	2						58	57	57	61	1						79	83	90	90	1						61	57	62	57	1						56	11	18	27	1						90	92	92	96	It was interesting to consider how likely it was to be the 'this/that' and how subjective our language can be.	2091,58	7,83		4,76		7,33		11,57		65,33		33,77				35,57		7,3		39,01			17,29		33,28			51,12			9,64		34,39			22,79			9,51		7,75				32,31				16,4			7,74				62,89				58,46			10,63				35,83				18,58			10,19				184,26				14,5			8,21				34,84				11,31			35,26			7,36				113,44				13,11			7,79				102,88				14,42			17,61				34,32				10,13			11,54				34,88				14,01			6,71				39,57				17,15			20,29			8,86				32,57				13,26			8,23				33,96				12,3			7,83				40,13				15,59			8,28				35,57				11,88			8,77				41,02				13,65			18,43			14,63				37,07				15,78			11,36				46,53				9,21			6,96				34,89				24,75			26,51				31,99				10,6			7,57				46,1				19,9			32,54	
19	2022-04-13 07:28:29	80	en	942269579	2022-04-13 06:43:21	2022-04-13 07:28:29	102.250.2.18		5f7ede440c88c61bb6bb583f	Female	28	4		The Faculty of Applied Linguistics at the University of Warsaw	True or false	An AI system			85	76	78	85				59	67	71	62				67	67	74	63	i liked taking the training made things easy for me to understand the study.	1						80	75	67	76	2						35	36	39	27	2						80	72	72	71	1						78	76	76	85	1						73	74	74	69	TRUE	Type of meaning determined by what the speaker wishes to talk about and not necessarily by what she indicated in practice	1						74	75	64	80	1						81	78	86	89	1						82	73	73	84	2						68	72	68	87	2						78	85	87	90	TRUE	Rules governing how to communicate with others to ensure clarity and understanding	2						76	47	72	37	1						64	64	67	73	1						89	87	90	94	2						45	71	71	30	1						83	78	78	80	TRUE	Type of meaning determined by what the speaker wishes to talk about and not necessarily by what she indicated in practice	1						70	73	75	85	1						76	85	83	87	1						78	81	81	83	1						65	34	76	38	2						75	22	71	24	wow this took long.	2740,45	10,6		7,13		10,94		8,27		65,04		37,33				64,18		37,45		76,11			50,21		42,18			76,28			16,48		44,95			21,72			63,39		12,11				35,08				16,46			9,24				60,24				34,51			11,47				35,1				14,28			9,63				65,41				13,58			10,26				35,97				15,97			72,78			10,72				57,95				28,64			10,75				78,75				14,35			11,66				36,48				15,42			9,1				78,37				28,31			71,43				51,37				12,58			71,98			9,96				36,36				30,32			9,6				35,87				16,35			9,94				54,51				14,65			21,72				38,96				41,19			14,47				60,15				19,29			80,93			12,35				34,54				14,36			9,51				94,9				39,41			33,63				44,54				29,84			20,5				64,03				30,39			18,91				70,05				26,12			30,89	
20	2022-04-13 08:28:26	80	en	600096466	2022-04-13 06:59:18	2022-04-13 08:28:26	78.10.135.108		5f7f93d23baaf8161cd10edd	Male	23	3		The Faculty of Applied Linguistics at the University of Warsaw	True or false	An AI system			100	85	100	100				80	30	10	100				100	100	90	100		2						100	100	100	100	2						80	10	100	100	2						100	85	100	100	1						100	20	100	100	1						100	20	94	100	TRUE	Rules for preserving the connection between words and what they stand for	1						90	100	100	100	1						90	99	100	100	1						100	100	70	100	1						100	100	100	100	2						30	95	95	0	FALSE	Type of meaning determined by what the speaker wishes to talk about and not necessarily by what she indicated in practice	2						100	0	66	89	2						100	96	24	0	2						100	100	30	80	2						100	66	100	93	1						92	0	14	100	TRUE	Rules governing how to communicate with others to ensure clarity and understanding	1						25	100	99	100	2						21	100	100	0	1						38	100	100	100	1						100	100	100	100	2						32	100	100	0		5380,89	8,04		3,06		4,18		14,13		3520,7		123,63				17,75		8,97		20,52			11,54		32,59			36,63			7,08		33,6			13,44			4,66		7,13				32,05				11,3			92,88				34,42				23,74			7,12				47				13,83			7,12				31,74				7,34			7,46				31,41				22,01			17,65			6,92				44,84				12,93			8,01				41,41				17,42			6,79				31,29				14,45			6,63				283,46				9,87			7,14				31,95				20,48			34,53			7,03				32,07				14,98			6,46				32,06				11,59			7,08				31,85				18,29			6,98				31,7				9,43			7,05				33,32				12,59			20,02			6,4				47,58				14,39			6,76				33,17				17,16			6,27				32,24				7,3			7,11				31,26				4,9			7,59				32,83				8,03			2,56	
22	2022-04-13 07:43:43	80	en	866000422	2022-04-13 07:10:13	2022-04-13 07:43:43	194.83.36.226		604249b06f34b50af5338558	Female	31	5		The Faculty of Applied Linguistics at the University of Warsaw	True or false	An AI system			93	89	93	100				95	95	93	100				94	95	92	100		2						94	0	6	100	1						4	99	98	0	1						1	2	0	0	1						0	0	0	0	2						50	25	26	0	FALSE	Rules governing how to communicate with others to ensure clarity and understanding	2						1	0	1	100	2						2	0	0	100	2						0	0	2	100	2						0	0	0	100	2						23	19	52	0	FALSE	Type of meaning determined by what the speaker wishes to talk about and not necessarily by what she indicated in practice	1						1	2	1	0	2						0	0	0	99	1						66	82	99	99	2						2	0	1	98	1						0	11	100	0	TRUE	Rules for preserving the connection between words and what they stand for	1						2	0	0	0	1						1	1	1	0	1						99	98	99	99	1						0	0	0	0	2						21	64	100	0	the instructions were not that easy to follow and understand in particular the use of the sliders	2043,81	7,4		3,5		7,16		10,14		94,15		29,13				31,76		17,92		35,16			18,64		51,15			114,37			7,23		33,44			22,67			7,85		7,22				32,41				43,29			6,78				34,16				49,12			6,79				32,51				16,43			6,8				34,19				8,94			8,11				33,32				22,51			41,22			11,14				32,45				21,45			7,11				34,91				8,85			7,15				34,86				8,07			6,39				62,93				7,93			10,39				33,71				18,06			50,09			13,82				31,81				40,94			47,56				39,38				9,8			12,81				32,23				15,52			15,79				55,37				8,67			43,58				38,36				19			39,5			8,32				47,58				12,94			7,02				45,67				7,2			7,4				31,96				7,2			6,51				32,42				8,11			6,66				61,66				16,14			41,92	
24	2022-04-13 08:00:00	80	en	967513440	2022-04-13 07:22:26	2022-04-13 08:00:00	115.179.175.42		5974c55334b844000168d278	Male	31	4		The Faculty of Applied Linguistics at the University of Warsaw	True or false	An AI system			100	40	100	90				15	15	20	100				95	90	100	100	The Instructions and the Training Phase were clear and easy to understand.	2						95	100	95	100	2						95	90	100	15	2						100	85	100	0	2						75	20	75	40	2						70	85	75	31	FALSE	Rules governing how to communicate with others to ensure clarity and understanding	2						40	20	55	70	1						100	100	100	100	1						20	20	30	15	2						75	50	85	30	1						90	10	100	90	TRUE	Type of meaning determined by what the speaker wishes to talk about and not necessarily by what she indicated in practice	1						100	90	100	100	1						20	80	20	19	2						85	90	90	15	1						80	90	86	90	2						80	100	84	24	FALSE	Rules for preserving the connection between words and what they stand for	2						100	90	100	18	2						85	15	100	15	1						100	90	100	100	2						60	80	55	70	1						90	90	100	90		2187,45	7,55		5,94		6,16		13,77		158,62		15,48				59,43		20,79		36,9			26,27		39,24			108,48			8,71		33,62			35,38			36,8		10,87				32,17				26,74			8,14				38,41				31,23			14,6				32,18				20,06			8,03				33,46				25,82			8,98				33,82				26,44			43,75			16,01				35,15				21,85			12,96				42,55				13,28			7,32				32,92				99,47			9,06				40,68				25,77			7,83				44,01				19,66			19,08			7,05				32,28				13,8			7,58				44,21				20,96			6,89				44,08				17,59			8,11				32,11				16,47			66,55				33,42				16,41			37,51			11,93				34,2				16,45			7,9				40,35				14,72			8,11				39,16				13,11			7,02				32,43				17,97			7,07				44,76				20,95			10,86	
26	2022-04-13 09:01:01	80	en	1233797946	2022-04-13 08:15:04	2022-04-13 09:01:01	41.144.77.123		5f3287b83428cb05746e2214	Female	33	4		The Faculty of Applied Linguistics at the University of Warsaw	True or false	An AI system										26	79	29	99				56	90	38	27		1						100	69	22	100	2						82	36	50	33	2						22	100	37	76	1						40	89	67	0	2						22	100	100	0	FALSE	Rules for preserving the connection between words and what they stand for	2						100	100	26	100	2						56	100	70	0	1						27	100	100	84	2						81	100	100	61	2						100	22	82	0	FALSE	Rules governing how to communicate with others to ensure clarity and understanding	1						100	100	97	61	1						100	29	76	100	1						99	14	79	40	2						90	0	100	4	2						35	0	0	100	FALSE	Rules governing how to communicate with others to ensure clarity and understanding	1						100	100	100	100	1						80	100	10	0	2						63	100	24	98	1						100	100	100	67	1						100	50	12	96		2795,44	22,76		11,96		19,06		17,13		136,96		63,02				38,22		33,89		32,08			30,26		37,29			159,2			20,49		38,57			45,37			15,73		20,2				38,27				54,88			11,07				45,4				72,02			10,95				33,32				49,06			11,6				34,34				26,95			10,25				35,92				46,97			66,92			10,01				69,17				57,25			15,76				41,56				28,91			10,85				40,6				31,38			9,85				33,75				27,99			10,53				33,1				33,88			161,98			11,19				37,56				18,45			15,92				35,78				17,2			9,91				37,58				21,44			14,03				35,91				30,82			10,47				39,43				37,89			74,41			11,58				34,41				19,67			11,64				73,98				21,59			11,98				43,18				17,83			13,83				34,06				18,01			11,83				71,19				26,33			19,66	
27	2022-04-13 08:44:27	80	en	82522299	2022-04-13 08:16:31	2022-04-13 08:44:27	161.76.22.41		5f76f50e1dec7f1a73621afb	Male	21	3		The Faculty of Applied Linguistics at the University of Warsaw	True or false	An AI system			80	100	66	0				75	67	85	18				25	85	80	88		2						100	100	100	25	1						63	0	36	80	1						100	0	83	91	1						100	35	71	78	1						65	100	77	100	TRUE	Rules for preserving the connection between words and what they stand for	2						82	28	78	80	2						100	85	19	30	1						58	82	24	71	1						85	28	81	100	1						100	70	99	100	TRUE	Type of meaning determined by what the speaker wishes to talk about and not necessarily by what she indicated in practice	1						66	21	99	100	1						100	21	67	79	2						73	91	73	75	1						100	0	75	100	1						100	33	84	77	TRUE	Type of meaning determined by what the speaker wishes to talk about and not necessarily by what she indicated in practice	2						74	100	88	89	2						84	37	80	66	2						73	29	73	74	1						80	13	80	66	1						100	99	87	100		1712,75	4,65		4,99		3,47		3,65		63,03		58,24				22,07		18,55		24,29			17,43		32,95			46,29			7,43		32,51			21,53			10,8		8,3				32,62				13,73			6,88				33,78				16,89			8,62				52,26				13,82			7,82				32,76				13,78			8,02				31,44				12,12			68,04			6,94				31,91				14,01			7,49				32,63				15,09			7,56				33,27				14,12			7,31				32,51				17,42			7,04				31,57				14,43			45,12			7,31				32,96				13,68			12,2				32,24				14,08			12,5				66,18				13,64			11,73				31,73				12,56			7,26				32,43				9,12			24,82			7,64				32,64				11,93			9,21				33,01				11,44			8,65				68,54				15,74			16,54				33,28				19,3			9,63				32,9				12,05			4,63	
